name,country,subcountry,geonameid
Dambulla,Sri Lanka,Central,1248749
Damiao,China,Jiangsu,1813927
Damiao,China,Chongqing,1904076
Damietta,Egypt,Damietta,358048
Dammam,Saudi Arabia,Eastern Province,110336
Dammarie-les-Lys,France,Île-de-France,3021852
Damme,Germany,Lower Saxony,2939167
Damnoen Saduak,Thailand,Ratchaburi,1153513
Damoh,India,Madhya Pradesh,1273587
Damoujia,China,Shandong,8668394
Dampit,Indonesia,East Java,1645749
Damāvand,Iran,Tehran,138042
Dan Khun Thot,Thailand,Nakhon Ratchasima,1610963
Dana Point,United States,California,5341483
Danané,Ivory Coast,Montagnes,2290462
Danao,Philippines,Central Visayas,1715804
Danao,Philippines,Central Visayas,1715812
Danbury,United States,Connecticut,4832353
Dandeli,India,Karnataka,1273574
Dandenong,Australia,Victoria,2169460
Dandenong North,Australia,Victoria,9972522
Dandong,China,Liaoning,2037886
Danforth East York,Canada,Ontario,12156867
Danghara,Tajikistan,Khatlon,1221965
Dangjiang,China,Guangxi,1813868
Dania Beach,United States,Florida,4152772
Danilov,Russia,Yaroslavl Oblast,567183
Danjiangkou,China,Hubei,1813828
Dankov,Russia,Lipetsk Oblast,567109
Danlí,Honduras,El Paraíso Department,3612907
Dano,Burkina Faso,Sud-Ouest,2361586
Danshui,China,Guangdong,1813812
Danvers,United States,Massachusetts,4934500
Danville,United States,Kentucky,4289445
Danville,United States,Virginia,4755280
Danville,United States,Illinois,4889426
Danville,United States,California,5341531
Danzi,China,Chongqing,8403846
Daocheng,China,Jiangsu,8395541
Daokou,China,Henan,1813775
Daotian,China,Shandong,1813755
Daoukro,Ivory Coast,Lacs,2290412
Dapaong,Togo,Savanes,2367164
Dapeng,China,Jiangsu,12277245
Daphne,United States,Alabama,4058219
Dapitan,Philippines,Zamboanga Peninsula,1715542
Daqing,China,Heilongjiang,2037860
Dar Chabanne,Tunisia,Nabeul Governorate,2471637
Dar Chioukh,Algeria,Djelfa,2500904
Dar el Beïda,Algeria,Algiers,2500889
Dar es Salaam,Tanzania,Dar es Salaam,160263
Dar Naim,Mauritania,Nouakchott Nord,11496397
Dara,Senegal,Louga,2253277
Darazo,Nigeria,Bauchi,2345152
Darbhanga,India,Bihar,1273491
Dardoq,Uzbekistan,Andijon,1514174
Dareda,Tanzania,Manyara,160266
Darende,Turkey,Malatya,317588
Dargeçit,Turkey,Mardin,317587
Darhan,Mongolia,Darhan Uul,2031964
Darien,Colombia,Valle del Cauca,3685273
Darien,United States,Connecticut,4832425
Darien,United States,Illinois,4889447
Darlington,United Kingdom,England,2651513
Darmstadt,Germany,Hesse,2938913
Darnah,Libya,Darnah,87205
Darreh Shahr,Iran,Ilam Province,137436
Darsi,India,Andhra Pradesh,1273448
Dartford,United Kingdom,England,2651500
Dartmouth,Canada,Nova Scotia,5935277
Darton,United Kingdom,England,2651497
Daru,Papua New Guinea,Western Province,2098329
Darwen,United Kingdom,England,2651495
Darwin,Australia,Northern Territory,2073124
Darya Khan,Pakistan,Punjab,1180454
Daryāpur,India,Maharashtra,1273434
Dar‘ā,Syria,Daraa,170905
Dasha,China,Guangdong,1807301
Dashahe,China,Jiangsu,12279163
Dashan,China,Yunnan,1813591
Dasheng,China,Chongqing,1914274
Dasheng,China,Shandong,12324247
Dashi,China,Gansu,1907965
Dashi,China,Chongqing,8417599
Dashiqiao,China,Liaoning,2037823
Dashitou,China,Jilin,2037820
Dashtobod,Uzbekistan,Jizzax,1512480
Dashu,China,Chongqing,8399036
Dashun,China,Chongqing,1813520
Daska Kalan,Pakistan,Punjab,1180436
Dasmariñas,Philippines,Calabarzon,1715430
Dasnapur,India,Telangana,7302812
Dassa-Zoumé,Benin,Collines,2394711
Dasūya,India,Punjab,1273410
Date,Japan,Fukushima,2112980
Date,Japan,Hokkaido,2130421
Datia,India,Madhya Pradesh,1273403
Datong,China,Anhui,1813451
Datong,China,Shanxi,2037799
Datong,China,Chongqing,8549394
Datteln,Germany,North Rhine-Westphalia,2938784
Dattāpur,India,Maharashtra,1273397
Datun,China,Jiangsu,1813425
Daud Khel,Pakistan,Punjab,1180419
Daudnagar,India,Bihar,1273390
Daugavpils,Latvia,Daugavpils,460413
Daule,Ecuador,Guayas,3658501
Daund,India,Maharashtra,1273374
Daur,Pakistan,Sindh,1180374
Daura,Nigeria,Katsina,2345094
Daura,Nigeria,Yobe,2345096
Dausa,India,Rajasthan,1273369
Davangere,India,Karnataka,1273368
Davao,Philippines,Davao,1715348
Davenport,United States,Iowa,4853423
Daventry,United Kingdom,England,2651485
David,Panama,Chiriquí Province,3711668
Davie,United States,Florida,4152820
Davis,United States,California,5341704
Davlekanovo,Russia,Bashkortostan Republic,567006
Davydkovo,Russia,Moscow,566976
Dawan,China,Chongqing,8416813
Dawei,Myanmar,Tanintharyi,1293625
Dawukou,China,Ningxia Hui Autonomous Region,1813344
Dax,France,Nouvelle-Aquitaine,3021670
Daxi,Taiwan,Taiwan,1668467
Daxie,China,Chongqing,1813315
Daxing,China,Beijing,1807544
Daxing,China,Yunnan,1813299
Daxing,China,Chongqing,1904080
Daxu,China,Jiangsu,12277246
Dayang,China,Gansu,12359284
Daye,China,Hubei,1813206
Dayr al Balaḩ,Palestinian Territory,Gaza Strip,281141
Dayr Mawās,Egypt,Minya,358274
Dayr Ḩāfir,Syria,Aleppo,170785
Dayrūţ,Egypt,Asyut,358269
Dayton,United States,Ohio,4509884
Daytona Beach,United States,Florida,4152872
Dazaifu,Japan,Fukuoka,7422816
Dazeshan,China,Shandong,12450879
Dazhong,China,Jiangsu,1813088
Dazhou,China,Sichuan,1813325
Dazhuang,China,Gansu,1907966
Daşoguz,Turkmenistan,Daşoguz,601734
Da’an,China,Chongqing,1814646
De Aar,South Africa,Northern Cape,1011632
De Meern,Netherlands,Utrecht,2757295
De Pere,United States,Wisconsin,5250201
Deal,United Kingdom,England,2651468
Dearborn,United States,Michigan,4990510
Dearborn Heights,United States,Michigan,4990512
Deba,Nigeria,Gombe,2345029
Debaltseve,Ukraine,Donetsk,710229
Debar,North Macedonia,Debar,791606
Debark’,Ethiopia,Amhara,339823
DeBary,United States,Florida,4152926
Debila,Algeria,El Oued,2500737
Debre Birhan,Ethiopia,Amhara,339734
Debre Mark’os,Ethiopia,Amhara,339708
Debre Tabor,Ethiopia,Amhara,339686
Debrecen,Hungary,Hajdú-Bihar,721472
Decatur,United States,Alabama,4058553
Decatur,United States,Georgia,4191124
Decatur,United States,Illinois,4236895
Deception Bay,Australia,Queensland,2169220
Dededo Village,Guam,Dededo,4043909
Dedham,United States,Massachusetts,4934664
Dedovsk,Russia,Moscow Oblast,566854
Dedza,Malawi,Central Region,930025
Dee Why,Australia,New South Wales,2208305
Deer Park,Australia,Victoria,2169145
Deer Park,United States,Texas,4685737
Deer Park,United States,New York,5114731
Deer Valley,United States,Arizona,5292387
Deerfield,United States,Illinois,4889668
Deerfield Beach,United States,Florida,4153071
Deeside,United Kingdom,Wales,8299616
Defiance,United States,Ohio,5151861
Degan,China,Chongqing,1813032
Degema Hulk,Nigeria,Rivers,2591159
Deggendorf,Germany,Bavaria,2938540
Degtyarsk,Russia,Sverdlovsk Oblast,1507488
Dehdasht,Iran,Kohgiluyeh and Boyer-Ahmad,136987
Dehiwala-Mount Lavinia,Sri Lanka,Western,1234569
Dehlorān,Iran,Ilam Province,136702
Dehra Dūn,India,Uttarakhand,1273313
Dehri,India,Bihar,1273309
Dehui,China,Jilin,2037712
Deinze,Belgium,Flanders,2799746
Deir ez-Zor,Syria,Deir ez-Zor,170794
Dej,Romania,Cluj,679550
DeKalb,United States,Illinois,4889553
Del City,United States,Oklahoma,4534934
Del Pilar,Philippines,Central Luzon,1715169
Del Rio,United States,Texas,5520076
DeLand,United States,Florida,4152890
Delanggu,Indonesia,Central Java,1645565
Delano,United States,California,5342485
Delaware,United States,Ohio,5151891
Delbrück,Germany,North Rhine-Westphalia,2938389
Delcevo,North Macedonia,Delchevo,791559
Delegación Cuajimalpa de Morelos,Mexico,Mexico City,3530049
Delft,Netherlands,South Holland,2757345
Delfzijl,Netherlands,Groningen,2757340
Delgado,El Salvador,San Salvador,3586814
Delhi,India,Delhi,1273294
Deli Tua,Indonesia,North Sumatra,1215199
Delicias,Spain,Aragon,6615440
Delitzsch,Germany,Saxony,2938376
Dellys,Algeria,Boumerdes,2500583
Delmas,South Africa,Mpumalanga,1011031
Delmas 73,Haiti,Ouest,3726786
Delmenhorst,Germany,Lower Saxony,2938323
Delmiro Gouveia,Brazil,Alagoas,3401109
Delray Beach,United States,Florida,4153132
Delta,Canada,British Columbia,5937615
Delta del Tigre,Uruguay,San José Department,3442778
Deltona,United States,Florida,4153146
Delījān,Iran,Markazi,136399
Demak,Indonesia,Central Java,1645559
Demba,Democratic Republic of the Congo,Kasai-Central,217389
Dembī Dolo,Ethiopia,Oromiya,339448
Demerval Lobão,Brazil,Piauí,3401106
Demirci,Turkey,Manisa,317241
Den Chai,Thailand,Phrae,1610943
Den Helder,Netherlands,North Holland,2757220
Denain,France,Hauts-de-France,3021605
Denderleeuw,Belgium,Flanders,2799647
Dendermonde,Belgium,Flanders,2799645
Dengbu,China,Jiangxi,7328899
Dengzhou,China,Shandong,1812988
Dengzhou,China,Henan,1812990
Denia,Spain,Valencia,2518878
Denison,United States,Texas,4685892
Denizciler,Turkey,Hatay,438400
Denizli,Turkey,Denizli,317109
Denkanikota,India,Tamil Nadu,1273272
Denov,Uzbekistan,Surxondaryo,1217474
Denpasar,Indonesia,Bali,1645528
Denton,United Kingdom,England,2651357
Denton,United States,Texas,4685907
Denver,United States,Colorado,5419384
Denville,United States,New Jersey,5097239
Deoband,India,Uttar Pradesh,1273265
Deogarh,India,Odisha,1273246
Deoghar,India,Jharkhand,1273241
Deoli,India,Rajasthan,1273083
Deoli,India,Maharashtra,1273228
Deoli,India,Delhi,10263232
Deolāli,India,Maharashtra,1273232
Deoraniān,India,Uttar Pradesh,1273206
Deori Khās,India,Madhya Pradesh,1273191
Deoria,India,Uttar Pradesh,1273193
Depew,United States,New York,5114900
Depok,Indonesia,Yogyakarta,1645518
Depok,Indonesia,West Java,1645524
Depālpur,India,Madhya Pradesh,1273181
Deqing,China,Zhejiang,1812981
Dera Bugti,Pakistan,Balochistan,1180295
Dera Ghazi Khan,Pakistan,Punjab,1180289
Dera Ismail Khan,Pakistan,Khyber Pakhtunkhwa,1180281
Derbent,Russia,Dagestan,566532
Derby,United Kingdom,England,2651347
Derby,United States,Kansas,4270356
Derhachi,Ukraine,Kharkiv,710098
Derince,Turkey,Kocaeli,748208
Derry,United Kingdom,Northern Ireland,2643736
Derry,United States,New Hampshire,5085374
Derry Village,United States,New Hampshire,5085382
Des Moines,United States,Iowa,4853828
Des Moines,United States,Washington,5792244
Des Plaines,United States,Illinois,4889772
Descalvado,Brazil,São Paulo,3464809
Desenzano del Garda,Italy,Lombardy,3177610
Desert Hot Springs,United States,California,5342710
Deshnoke,India,Rajasthan,1273153
Desio,Italy,Lombardy,3177608
Desnogorsk,Russia,Smolensk Oblast,566384
DeSoto,United States,Texas,4685524
Dessau,Germany,Saxony-Anhalt,2937959
Destelbergen,Belgium,Flanders,2799496
Desē,Ethiopia,Amhara,339219
Det Udom,Thailand,Ubon Ratchathani,1610940
Detmold,Germany,North Rhine-Westphalia,2937936
Detroit,United States,Michigan,4990729
Detroit-Shoreway,United States,Ohio,8062662
Deuil-la-Barre,France,Île-de-France,3021516
Deurne,Belgium,Flanders,2799478
Deutz,Germany,North Rhine-Westphalia,2937790
Deux-Montagnes,Canada,Quebec,5938513
Deva,Romania,Hunedoara,679452
Devakottai,India,Tamil Nadu,1273128
Devanhalli,India,Karnataka,1273123
Devarkonda,India,Telangana,1273109
Develi,Turkey,Kayseri,316795
Deventer,Netherlands,Overijssel,2756987
Devgadh Bāriya,India,Gujarat,1273104
Devgarh,India,Rajasthan,1273098
Devinuwara,Sri Lanka,Southern,1248158
Devizes,United Kingdom,England,2651294
Devrek,Turkey,Zonguldak,748167
Dewas,India,Madhya Pradesh,1273066
Dewsbury,United Kingdom,England,2651286
Deyang,China,Sichuan,1812961
Dezhou,China,Shandong,1812955
Deán Funes,Argentina,Cordoba,3859512
Deçan,Kosovo,Gjakova,791580
Deūlgaon Rāja,India,Maharashtra,1273136
Dhabad,Somalia,Galguduud,6311126
Dhafní,Greece,Attica,263312
Dhahran,Saudi Arabia,Eastern Province,107797
Dhaka,Bangladesh,Dhaka,1185241
Dhamtari,India,Chhattisgarh,1272997
Dhamār,Yemen,Dhamār,76184
Dhanaula,India,Punjab,1272985
Dhanaura,India,Uttar Pradesh,1272983
Dhanbad,India,Jharkhand,1272979
Dhandhuka,India,Gujarat,1272970
Dhanera,India,Gujarat,1272962
Dhangaḍhi̇̄,Nepal,Sudurpashchim Pradesh,1283467
Dhankutā,Nepal,Province 1,1283465
Dhanot,Pakistan,Punjab,1180133
Dharampur,India,Gujarat,1272881
Dharamsala,India,Himachal Pradesh,1272832
Dharangaon,India,Maharashtra,1272874
Dharapuram,India,Tamil Nadu,1272873
Dharashiv,India,Maharashtra,1261012
Dharmadam,India,Kerala,1272856
Dharmanagar,India,Tripura,1272852
Dharmapuri,India,Tamil Nadu,1272847
Dharmavaram,India,Andhra Pradesh,1272842
Dharmābād,India,Maharashtra,1272857
Dharān,Nepal,Province 1,1283460
Dhaulpur,India,Rajasthan,1272805
Dhaurahra,India,Uttar Pradesh,1272802
Dhekiajuli,India,Assam,1272790
Dhenkānāl,India,Odisha,1272780
Dhing,India,Assam,1272768
Dholka,India,Gujarat,1272733
Dhone,India,Andhra Pradesh,1272722
Dhoro Naro,Pakistan,Sindh,1179902
Dhorāji,India,Gujarat,1272720
Dhrol,India,Gujarat,1272699
Dhrāngadhra,India,Gujarat,1272701
Dhuburi,India,Assam,1272694
Dhulagari,India,West Bengal,1348780
Dhulikhel,Nepal,Bagmati Province,1283448
Dhuliān,India,West Bengal,1272689
Dhupgāri,India,West Bengal,1272674
Dhāka,India,Bihar,1273043
Dhāmnod,India,Madhya Pradesh,1273006
Dhāmpur,India,Uttar Pradesh,1273002
Dhār,India,Madhya Pradesh,1272892
Dhāri,India,Gujarat,1272861
Dhāriwāl,India,Punjab,1272860
Dhāruhera,India,Haryana,1272822
Dhārūr,India,Maharashtra,1272819
Dhī as Sufāl,Yemen,Ibb Governorate,76154
Dhūlia,India,Maharashtra,1272691
Dhūri,India,Punjab,1272670
Diadema,Brazil,São Paulo,3464739
Diadi,Philippines,Cagayan Valley,1715094
Diamante,Argentina,Entre Rios,3859384
Diamantina,Brazil,Minas Gerais,3464728
Diamantino,Brazil,Mato Grosso,3464724
Diamond Bar,United States,California,5342992
Diamond Harbour,India,West Bengal,1272657
Dianbu,China,Shandong,1912383
Dianella,Australia,Western Australia,8349051
Dianga,China,Gansu,7342980
Dianshui,China,Chongqing,8408394
Dianzi,China,Shandong,12450880
Diaoyucheng,China,Chongqing,8417606
Diapaga,Burkina Faso,Est,2361373
Dibai,India,Uttar Pradesh,1272653
Dibba Al-Fujairah,United Arab Emirates,Fujairah,292231
Dibba Al-Hisn,United Arab Emirates,Fujairah,292239
Dibrugarh,India,Assam,1272648
Dicholi,India,Goa,1272646
Dickinson,United States,Texas,4686163
Dickinson,United States,North Dakota,5688789
Dickson,United States,Tennessee,4618057
Didao,China,Heilongjiang,2037685
Didcot,United Kingdom,England,2651269
Didim,Turkey,Aydın,297090
Didouche Mourad,Algeria,Constantine,2500401
Dieburg,Germany,Hesse,2937591
Diego de Almagro,Chile,Atacama,3892454
Diemen,Netherlands,North Holland,2756888
Dien Bien Phu,Vietnam,Ðiện Biên,1583477
Diepenbeek,Belgium,Flanders,2799412
Diepholz,Germany,Lower Saxony,2937317
Dieppe,Canada,New Brunswick,5939219
Dieppe,France,Normandy,3021411
Diepsloot,South Africa,Gauteng,8764562
Diest,Belgium,Flanders,2799397
Dietikon,Switzerland,Zurich,2661015
Dietzenbach,Germany,Hesse,2937040
Diez de Octubre,Cuba,Havana,6956648
Diffa,Niger,Diffa,2445704
Digboi,India,Assam,1272629
Dighwāra,India,Bihar,1272610
Digih Habar Es,Ethiopia,Somali,10239401
Digne-les-Bains,France,Provence-Alpes-Côte d'Azur,3021382
Digos,Philippines,Davao,1714956
Digras,India,Maharashtra,1272596
Digri,Pakistan,Sindh,1179837
Dihok,Iraq,Duhok,96994
Diinsoor,Somalia,Bay,60809
Dijkot,Pakistan,Punjab,1179834
Dijon,France,Bourgogne-Franche-Comté,3021372
Dikirnis,Egypt,Dakahlia,358172
Diksmuide,Belgium,Flanders,2799369
Dikwa,Nigeria,Borno,2344854
Dilbeek,Belgium,Flanders,2799365
Dili,Timor Leste,Díli,1645457
Dillenburg,Germany,Hesse,2936985
Dilling,Sudan,Southern Kordofan,376450
Dillingen,Germany,Saarland,2936977
Dillingen an der Donau,Germany,Bavaria,2936974
Dimbokro,Ivory Coast,Lacs,2289983
Dimitrovgrad,Bulgaria,Haskovo,732263
Dimitrovgrad,Russia,Ulyanovsk,566199
Dimona,Israel,Southern District,295328
Dimāpur,India,Nagaland,1272552
Dinalupihan,Philippines,Central Luzon,1714766
Dinapore,India,Bihar,1273581
Dinar,Turkey,Afyonkarahisar Province,316634
Dindigul,India,Tamil Nadu,1272543
Dindori,India,Madhya Pradesh,1272540
Dinga,Pakistan,Punjab,1179790
Dingcheng,China,Henan,1807553
Dingjia,China,Chongqing,1812792
Dingolfing,Germany,Bavaria,2936909
Dingshi,China,Chongqing,1812760
Dingtao,China,Shandong,1812754
Dingxi,China,Gansu,1812749
Dingzhou,China,Hebei,1812728
Dinnington,United Kingdom,England,2651241
Dinskaya,Russia,Krasnodar Krai,566181
Dinslaken,Germany,North Rhine-Westphalia,2936871
Dinuba,United States,California,5343171
Dinājpur,Bangladesh,Rangpur Division,1203891
Dipalpur,Pakistan,Punjab,1179760
Dipayal,Nepal,Sudurpashchim Pradesh,6254845
Diphu,India,Assam,1272525
Dipolog,Philippines,Zamboanga Peninsula,1714674
Dire Dawa,Ethiopia,Dire Dawa,338832
Diriamba,Nicaragua,Carazo Department,3620170
Dishnā,Egypt,Qena,358115
District of Taher,Algeria,Jijel,12326384
Disūq,Egypt,Kafr el-Sheikh,358108
Ditzingen,Germany,Baden-Wurttemberg,2936705
Diu,India,Dadra and Nagar Haveli and Daman and Diu,1272502
Divichibazar,Azerbaijan,Shabran,586763
Divinópolis,Brazil,Minas Gerais,3464688
Divnogorsk,Russia,Krasnoyarsk Krai,1507379
Divnoye,Russia,Stavropol Kray,566155
Divo,Ivory Coast,Gôh-Djiboua,2289887
Diwek,Indonesia,East Java,1645428
Dix Hills,United States,New York,5115107
Dixiana,United States,Alabama,8605041
Dixon,United States,Illinois,4889959
Dixon,United States,California,5343303
Diyadin,Turkey,Ağrı,316542
Diyarb Najm,Egypt,Sharqia,358095
Diyarbakır,Turkey,Diyarbakır Province,316541
Dizangué,Cameroon,Littoral,2232997
Diébougou,Burkina Faso,Sud-Ouest,2361342
Djamaa,Algeria,El Mghair,2500282
Djelfa,Algeria,Djelfa,2500017
Djemmal,Tunisia,Monastir Governorate,2470191
Djibo,Burkina Faso,Sahel,2361177
Djibouti,Djibouti,Djibouti,223817
Djidiouia,Algeria,Relizane,2492920
Djougou,Benin,Donga,2394560
Djénné,Mali,Mopti,2458589
Dmitrov,Russia,Moscow Oblast,565955
Dnipro,Ukraine,Dnipropetrovsk,709930
Dniprorudne,Ukraine,Zaporizhzhia,709960
Doba,Chad,Logone Oriental,2433437
Doboj,Bosnia and Herzegovina,Srpska,3201984
Dobrich,Bulgaria,Dobrich,726418
Dobropillia,Ukraine,Donetsk,709900
Dobrush,Belarus,Gomel Oblast,629018
Dobryanka,Russia,Perm Krai,565778
Docklands,Australia,Victoria,7521471
Doda,India,Jammu and Kashmir,1272476
Doddaballapura,India,Karnataka,1272473
Dodge City,United States,Kansas,5445298
Dodola,Ethiopia,Oromiya,338726
Dodoma,Tanzania,Dodoma,160196
Doetinchem,Netherlands,Gelderland,2756767
Dogbo,Benin,Kouffo,2394545
Dogonbadan,Iran,Kohgiluyeh and Boyer-Ahmad,136014
Dogondoutchi,Niger,Dosso,2445553
Doha,Qatar,Baladīyat ad Dawḩah,290030
Dohad,India,Gujarat,1273687
Dohār,Bangladesh,Dhaka,1185100
Dois Córregos,Brazil,São Paulo,3464618
Dois Vizinhos,Brazil,Paraná,3464579
Dok Kham Tai,Thailand,Phayao,1153464
Doka,Sudan,Al Qaḑārif,376332
Dokuchaievsk,Ukraine,Donetsk,709835
Dole,France,Bourgogne-Franche-Comté,3021263
Dolgoprudnyy,Russia,Moscow Oblast,565614
Dolisie,Republic of the Congo,Niari,2258261
Dollard-Des Ormeaux,Canada,Quebec,5940956
Dolný Kubín,Slovakia,Žilinský kraj,3060405
Dologon,Philippines,Northern Mindanao,1714519
Dolores,Argentina,Buenos Aires,3435038
Dolores,Uruguay,Soriano,3442750
Dolores Hidalgo,Mexico,Guanajuato,4023117
Dolton,United States,Illinois,4890009
Dolyna,Ukraine,Ivano-Frankivsk,709755
Dolynska,Ukraine,Kirovohrad,709782
Dom Pedrito,Brazil,Rio Grande do Sul,3464547
Dom Pedro,Brazil,Maranhão,3400969
Doma,Nigeria,Nassarawa,2344600
Domalanoan,Philippines,Ilocos,1714482
Dombivli,India,Maharashtra,1272423
Dombóvár,Hungary,Tolna,3053590
Dome,Ghana,Greater Accra,2301639
Domodedovo,Russia,Moscow Oblast,565381
Domodossola,Italy,Piedmont,3177532
Domont,France,Île-de-France,3021150
Dompu,Indonesia,West Nusa Tenggara,1645343
Don Antonio,Mexico,Hidalgo,8858113
Don Benito,Spain,Extremadura,2518820
Don Carlos,Philippines,Northern Mindanao,1714441
Don Torcuato,Argentina,Buenos Aires,3435010
Don Valley Village,Canada,Ontario,12156901
Donaghmede,Ireland,Leinster,6691033
Donaueschingen,Germany,Baden-Wurttemberg,2936267
Donaustadt,Austria,Vienna,11903636
Donauwörth,Germany,Bavaria,2936253
Doncaster,Australia,Victoria,2168607
Doncaster,United Kingdom,England,2651123
Doncaster East,Australia,Victoria,2168605
Dondaicha,India,Maharashtra,1272411
Dondo,Mozambique,Sofala,1024696
Donetsk,Russia,Rostov,565348
Donetsk,Ukraine,Donetsk,709717
Dongargarh,India,Chhattisgarh,1272396
Dongcheng,China,Hainan,1914952
Dongchuan,China,Qinghai,1812630
Dongcun,China,Shandong,1812621
Dongdu,China,Shandong,1812597
Dongen,Netherlands,North Brabant,2756723
Dongfeng,China,Jilin,2037658
Donggang,Taiwan,Taiwan,1666596
Donggongon,Malaysia,Sabah,1733438
Dongguan,China,Guangdong,1812545
Donghae City,South Korea,Gangwon-do,1892823
Donghai,China,Guangdong,1812521
Donghe,China,Sichuan,1808103
Donghui,China,Yunnan,12358502
Dongjia,China,Chongqing,8406200
Dongjiang,China,Gansu,7347727
Dongkan,China,Jiangsu,1812427
Dongling,China,Liaoning,2037620
Dongning,China,Heilongjiang,2037611
Dongobesh,Tanzania,Manyara,160172
Dongsheng,China,Inner Mongolia,1812256
Dongta,China,Ningxia Hui Autonomous Region,1803449
Dongtai,China,Jiangsu,1812228
Dongwenquan,China,Chongqing,12450883
Dongxi,China,Chongqing,1812168
Dongxia,China,Shandong,12324303
Dongxing,China,Guangxi,1812138
Dongyang,China,Zhejiang,1791056
Dongyang,China,Chongqing,8417106
Dongying,China,Shandong,1812101
Donna,United States,Texas,4686593
Donostia / San Sebastián,Spain,Basque Country,3110044
Donskoy,Russia,Tula Oblast,565290
Donskoye,Russia,Stavropol Kray,565289
Doral,United States,Florida,4153471
Dorbod,China,Heilongjiang,2034600
Dorcheh Pīāz,Iran,Isfahan,418896
Dorchester,United Kingdom,England,2651101
Dordrecht,Netherlands,South Holland,2756669
Doreen,Australia,Victoria,2168537
Dori,Burkina Faso,Sahel,2361082
Dorking,United Kingdom,England,2651095
Dormagen,Germany,North Rhine-Westphalia,2935825
Dornakal,India,Telangana,1272367
Dornbirn,Austria,Vorarlberg,2780741
Dorogomilovo,Russia,Moscow Oblast,565197
Dorohoi,Romania,Botoșani,679065
Doropo,Ivory Coast,Zanzan,2289724
Dorset Park,Canada,Ontario,5941905
Dorsten,Germany,North Rhine-Westphalia,2935530
Dortmund,Germany,North Rhine-Westphalia,2935517
Dorval,Canada,Quebec,5941925
Dorāha,India,Punjab,1272375
Dos Hermanas,Spain,Andalusia,2518794
Dosquebradas,Colombia,Risaralda,3685095
Dosso,Niger,Dosso,2445488
Dothan,United States,Alabama,4059102
Dotzheim,Germany,Hesse,2935414
Douai,France,Hauts-de-France,3021000
Douala,Cameroon,Littoral,2232593
Douane,Tunisia,Nabeul Governorate,2581754
Douar Tindja,Tunisia,Bizerte Governorate,2471475
Douarnenez,France,Brittany,3020996
Douera,Algeria,Algiers,2499193
Douglas,Ireland,Munster,2964690
Douglas,Isle of Man,Douglas,3042237
Douglas,United States,Illinois,4890075
Douglas,United States,Arizona,5293083
Douglasville,United States,Georgia,4191955
Douliu,Taiwan,Taiwan,1665196
Dour,Belgium,Wallonia,2799226
Dourados,Brazil,Mato Grosso do Sul,3464460
Dourbali,Chad,Chari-Baguirmi,2433055
Douz,Tunisia,Kebili Governorate,2471287
Dover,United Kingdom,England,2651048
Dover,United States,Delaware,4142290
Dover,United States,New Hampshire,5085520
Dover,United States,New Jersey,5097315
Dovercourt-Wallace Emerson-Junction,Canada,Ontario,12156838
Dovzhansk,Ukraine,Luhansk,692105
Dowlatābād,Iran,Isfahan,418868
Downers Grove,United States,Illinois,4890119
Downey,United States,California,5343858
Downsview-Roding-CFB,Canada,Ontario,12156903
Doğubayazıt,Turkey,Ağrı,316411
Do’stlik Shahri,Uzbekistan,Jizzax,1514125
Draa Ben Khedda,Algeria,Tizi Ouzou,2499116
Draa el Mizan,Algeria,Tizi Ouzou,2499104
Drachten,Netherlands,Friesland,2756644
Dracut,United States,Massachusetts,4935038
Dragash,Kosovo,Prizren,791122
Draguignan,France,Provence-Alpes-Côte d'Azur,3020850
Drammen,Norway,Viken,3159016
Drancy,France,Île-de-France,3020839
Draper,United States,Utah,5774001
Draveil,France,Île-de-France,3020832
Drean,Algeria,El Tarf,2499055
Dreieich,Germany,Hesse,2935220
Drensteinfurt,Germany,North Rhine-Westphalia,2935042
Dresden,Germany,Saxony,2935022
Dreta de l'Eixample,Spain,Catalonia,6690786
Dreux,France,Centre,3020810
Drexel Heights,United States,Arizona,5293183
Drexel Hill,United States,Pennsylvania,4557606
Driebergen-Rijsenburg,Netherlands,Utrecht,2756619
Driefontein,South Africa,Mpumalanga,1008261
Driyorejo,Indonesia,East Java,1645220
Drobeta-Turnu Severin,Romania,Mehedinți,678817
Drochia,Moldova,Drochia,618370
Drogheda,Ireland,Leinster,2964661
Drohobych,Ukraine,Lviv,709611
Droichead Nua,Ireland,Leinster,2962290
Droitwich,United Kingdom,England,2650983
Dronfield,United Kingdom,England,2650967
Dronten,Netherlands,Flevoland,2756559
Droylsden,United Kingdom,England,2650962
Drummondville,Canada,Quebec,5942845
Druzhba,Uzbekistan,Xorazm,1514140
Druzhkivka,Ukraine,Donetsk,616743
Dráma,Greece,East Macedonia and Thrace,736364
Drăgăşani,Romania,Vâlcea,678978
Dschang,Cameroon,West,2232444
Duaca,Venezuela,Lara,3644440
Duarte,United States,California,5344147
Duayaw-Nkwanta,Ghana,Ahafo,2301464
Duba,Saudi Arabia,Tabuk Region,106909
Dubai,United Arab Emirates,Dubai,292223
Dubbo,Australia,New South Wales,2168305
Dublin,Ireland,Leinster,2964574
Dublin,United States,Georgia,4192205
Dublin,United States,Ohio,5152333
Dublin,United States,California,5344157
Dubna,Russia,Moscow Oblast,564719
Dubnica nad Váhom,Slovakia,Trenčiansky kraj,3060346
